variation = -0.600000, temp_variance = 0.021139, temp_sum = 184.592720, temp_average = 0.266752, count = 692
variation = -0.340000, temp_variance = 0.025445, temp_sum = 141.491853, temp_average = 0.362800, count = 390
variation = -0.335000, temp_variance = 0.024887, temp_sum = 139.360235, temp_average = 0.363865, count = 383
variation = -0.330000, temp_variance = 0.024228, temp_sum = 136.586439, temp_average = 0.364231, count = 375
variation = -0.325000, temp_variance = 0.023900, temp_sum = 136.184332, temp_average = 0.367074, count = 371
variation = -0.320000, temp_variance = 0.023406, temp_sum = 134.551998, temp_average = 0.368636, count = 365
variation = -0.315000, temp_variance = 0.022996, temp_sum = 133.492037, temp_average = 0.370811, count = 360
variation = -0.310000, temp_variance = 0.022578, temp_sum = 132.397585, temp_average = 0.372951, count = 355
variation = -0.305000, temp_variance = 0.022260, temp_sum = 131.889587, temp_average = 0.375754, count = 351
variation = -0.300000, temp_variance = 0.021773, temp_sum = 130.147062, temp_average = 0.377238, count = 345
variation = -0.295000, temp_variance = 0.021026, temp_sum = 126.570120, temp_average = 0.376697, count = 336
variation = -0.290000, temp_variance = 0.020412, temp_sum = 124.145492, temp_average = 0.377342, count = 329
variation = -0.285000, temp_variance = 0.020149, temp_sum = 124.096256, temp_average = 0.380663, count = 326
variation = -0.280000, temp_variance = 0.019808, temp_sum = 123.428300, temp_average = 0.383318, count = 322
variation = -0.275000, temp_variance = 0.019483, temp_sum = 122.746186, temp_average = 0.385994, count = 318
variation = -0.270000, temp_variance = 0.019076, temp_sum = 121.438474, temp_average = 0.387982, count = 313
variation = -0.265000, temp_variance = 0.018574, temp_sum = 119.495224, temp_average = 0.389235, count = 307
variation = -0.260000, temp_variance = 0.018241, temp_sum = 118.726842, temp_average = 0.391838, count = 303
variation = -0.255000, temp_variance = 0.017903, temp_sum = 117.929406, temp_average = 0.394413, count = 299
variation = -0.250000, temp_variance = 0.017225, temp_sum = 114.701952, temp_average = 0.394165, count = 291
variation = -0.245000, temp_variance = 0.016508, temp_sum = 111.433028, temp_average = 0.393756, count = 283
variation = -0.240000, temp_variance = 0.015737, temp_sum = 108.117941, temp_average = 0.393156, count = 275
variation = -0.235000, temp_variance = 0.015344, temp_sum = 107.176468, temp_average = 0.395485, count = 271
variation = -0.230000, temp_variance = 0.015343, temp_sum = 108.624974, temp_average = 0.400830, count = 271
variation = -0.225000, temp_variance = 0.014590, temp_sum = 105.245866, temp_average = 0.400174, count = 263
variation = -0.220000, temp_variance = 0.014309, temp_sum = 104.846206, temp_average = 0.403255, count = 260
variation = -0.215000, temp_variance = 0.014124, temp_sum = 105.029405, temp_average = 0.407091, count = 258
variation = -0.210000, temp_variance = 0.013767, temp_sum = 103.997308, temp_average = 0.409438, count = 254
variation = -0.205000, temp_variance = 0.013681, temp_sum = 104.751593, temp_average = 0.414038, count = 253
variation = -0.200000, temp_variance = 0.013264, temp_sum = 103.089107, temp_average = 0.415682, count = 248
variation = -0.195000, temp_variance = 0.013011, temp_sum = 102.601576, temp_average = 0.418782, count = 245
variation = -0.190000, temp_variance = 0.012852, temp_sum = 102.704384, temp_average = 0.422652, count = 243
variation = -0.185000, temp_variance = 0.012543, temp_sum = 101.588339, temp_average = 0.425056, count = 239
variation = -0.180000, temp_variance = 0.012320, temp_sum = 101.057207, temp_average = 0.428209, count = 236
variation = -0.175000, temp_variance = 0.012102, temp_sum = 100.507115, temp_average = 0.431361, count = 233
variation = -0.170000, temp_variance = 0.011748, temp_sum = 98.737070, temp_average = 0.433057, count = 228
variation = -0.165000, temp_variance = 0.011245, temp_sum = 95.739658, temp_average = 0.433211, count = 221
variation = -0.160000, temp_variance = 0.011030, temp_sum = 95.115764, temp_average = 0.436311, count = 218
variation = -0.155000, temp_variance = 0.010594, temp_sum = 92.667737, temp_average = 0.437112, count = 212
variation = -0.150000, temp_variance = 0.010376, temp_sum = 91.993342, temp_average = 0.440160, count = 209
variation = -0.145000, temp_variance = 0.010087, temp_sum = 90.698435, temp_average = 0.442431, count = 205
variation = -0.140000, temp_variance = 0.009652, temp_sum = 88.179673, temp_average = 0.443114, count = 199
variation = -0.135000, temp_variance = 0.009280, temp_sum = 86.232925, temp_average = 0.444500, count = 194
variation = -0.130000, temp_variance = 0.009139, temp_sum = 86.067520, temp_average = 0.448268, count = 192
variation = -0.125000, temp_variance = 0.008862, temp_sum = 84.687542, temp_average = 0.450466, count = 188
variation = -0.120000, temp_variance = 0.008581, temp_sum = 83.282878, temp_average = 0.452624, count = 184
variation = -0.115000, temp_variance = 0.008145, temp_sum = 80.650362, temp_average = 0.453092, count = 178
variation = -0.110000, temp_variance = 0.007846, temp_sum = 79.190214, temp_average = 0.455116, count = 174
variation = -0.105000, temp_variance = 0.007696, temp_sum = 78.910353, temp_average = 0.458781, count = 172
variation = -0.100000, temp_variance = 0.007337, temp_sum = 76.815300, temp_average = 0.459972, count = 167
variation = -0.095000, temp_variance = 0.007194, temp_sum = 76.499341, temp_average = 0.463632, count = 165
variation = -0.090000, temp_variance = 0.006919, temp_sum = 74.968915, temp_average = 0.465645, count = 161
variation = -0.085000, temp_variance = 0.006640, temp_sum = 73.414168, temp_average = 0.467606, count = 157
variation = -0.080000, temp_variance = 0.006292, temp_sum = 71.240271, temp_average = 0.468686, count = 152
variation = -0.075000, temp_variance = 0.006008, temp_sum = 69.642033, temp_average = 0.470554, count = 148
variation = -0.070000, temp_variance = 0.005704, temp_sum = 68.012846, temp_average = 0.472311, count = 144
variation = -0.065000, temp_variance = 0.005328, temp_sum = 65.766362, temp_average = 0.473139, count = 139
variation = -0.060000, temp_variance = 0.005005, temp_sum = 64.090128, temp_average = 0.474742, count = 135
variation = -0.055000, temp_variance = 0.004680, temp_sum = 62.395633, temp_average = 0.476303, count = 131
variation = -0.050000, temp_variance = 0.004520, temp_sum = 61.886266, temp_average = 0.479738, count = 129
variation = -0.045000, temp_variance = 0.004370, temp_sum = 61.367122, temp_average = 0.483206, count = 127
variation = -0.040000, temp_variance = 0.004160, temp_sum = 60.237815, temp_average = 0.485789, count = 124
variation = -0.035000, temp_variance = 0.003874, temp_sum = 58.488580, temp_average = 0.487405, count = 120
variation = -0.030000, temp_variance = 0.003733, temp_sum = 57.921612, temp_average = 0.490861, count = 118
variation = -0.025000, temp_variance = 0.003666, temp_sum = 57.945659, temp_average = 0.495262, count = 117
variation = -0.020000, temp_variance = 0.003353, temp_sum = 55.558627, temp_average = 0.496059, count = 112
variation = -0.015000, temp_variance = 0.003224, temp_sum = 54.948386, temp_average = 0.499531, count = 110
variation = -0.010000, temp_variance = 0.003047, temp_sum = 53.728576, temp_average = 0.502136, count = 107
variation = -0.005000, temp_variance = 0.002868, temp_sum = 52.489632, temp_average = 0.504708, count = 104
variation = 0.000000, temp_variance = 0.002625, temp_sum = 50.630677, temp_average = 0.506307, count = 100
variation = 0.005000, temp_variance = 0.002568, temp_sum = 50.558867, temp_average = 0.510696, count = 99
variation = 0.010000, temp_variance = 0.002465, temp_sum = 49.879957, temp_average = 0.514226, count = 97
variation = 0.015000, temp_variance = 0.002264, temp_sum = 47.984868, temp_average = 0.515966, count = 93
variation = 0.020000, temp_variance = 0.002056, temp_sum = 46.068092, temp_average = 0.517619, count = 89
variation = 0.025000, temp_variance = 0.001840, temp_sum = 44.129050, temp_average = 0.519165, count = 85
variation = 0.030000, temp_variance = 0.001848, temp_sum = 44.582786, temp_average = 0.524503, count = 85
variation = 0.035000, temp_variance = 0.001815, temp_sum = 44.434476, temp_average = 0.528982, count = 84
variation = 0.040000, temp_variance = 0.001790, temp_sum = 44.281672, temp_average = 0.533514, count = 83
variation = 0.045000, temp_variance = 0.001629, temp_sum = 41.707247, temp_average = 0.534708, count = 78
variation = 0.050000, temp_variance = 0.001545, temp_sum = 40.318212, temp_average = 0.537576, count = 75
variation = 0.055000, temp_variance = 0.001432, temp_sum = 38.309614, temp_average = 0.539572, count = 71
variation = 0.060000, temp_variance = 0.001353, temp_sum = 36.881080, temp_average = 0.542369, count = 68
variation = 0.065000, temp_variance = 0.001243, temp_sum = 34.830759, temp_average = 0.544231, count = 64
variation = 0.070000, temp_variance = 0.001164, temp_sum = 33.361281, temp_average = 0.546906, count = 61
variation = 0.075000, temp_variance = 0.001171, temp_sum = 33.684269, temp_average = 0.552201, count = 61
variation = 0.080000, temp_variance = 0.001074, temp_sum = 30.987918, temp_average = 0.553356, count = 56
variation = 0.085000, temp_variance = 0.000946, temp_sum = 27.666008, temp_average = 0.553320, count = 50
variation = 0.090000, temp_variance = 0.000875, temp_sum = 26.118184, temp_average = 0.555706, count = 47
variation = 0.095000, temp_variance = 0.000861, temp_sum = 25.762337, temp_average = 0.560051, count = 46
variation = 0.100000, temp_variance = 0.000674, temp_sum = 21.174695, temp_average = 0.557229, count = 38
variation = 0.105000, temp_variance = 0.000651, temp_sum = 20.769507, temp_average = 0.561338, count = 37
variation = 0.110000, temp_variance = 0.000638, temp_sum = 20.359681, temp_average = 0.565547, count = 36
variation = 0.115000, temp_variance = 0.000604, temp_sum = 18.740480, temp_average = 0.567893, count = 33
variation = 0.120000, temp_variance = 0.000522, temp_sum = 15.300825, temp_average = 0.566697, count = 27
variation = 0.125000, temp_variance = 0.000500, temp_sum = 14.239215, temp_average = 0.569569, count = 25
variation = 0.130000, temp_variance = 0.000462, temp_sum = 12.562736, temp_average = 0.571033, count = 22
variation = 0.135000, temp_variance = 0.000337, temp_sum = 9.662079, temp_average = 0.568358, count = 17
variation = 0.140000, temp_variance = 0.000337, temp_sum = 9.747231, temp_average = 0.573367, count = 17
variation = 0.145000, temp_variance = 0.000337, temp_sum = 9.832382, temp_average = 0.578375, count = 17
variation = 0.150000, temp_variance = 0.000281, temp_sum = 7.504175, temp_average = 0.577244, count = 13
variation = 0.155000, temp_variance = 0.000117, temp_sum = 5.155357, temp_average = 0.572817, count = 9
variation = 0.160000, temp_variance = 0.000117, temp_sum = 5.200399, temp_average = 0.577822, count = 9
variation = 0.165000, temp_variance = 0.000081, temp_sum = 4.643737, temp_average = 0.580467, count = 8
variation = 0.170000, temp_variance = 0.000030, temp_sum = 4.078767, temp_average = 0.582681, count = 7
variation = 0.175000, temp_variance = 0.000030, temp_sum = 4.113790, temp_average = 0.587684, count = 7
variation = 0.180000, temp_variance = 0.000030, temp_sum = 4.148814, temp_average = 0.592688, count = 7
variation = 0.185000, temp_variance = 0.000028, temp_sum = 2.978199, temp_average = 0.595640, count = 5
variation = 0.190000, temp_variance = 0.000000, temp_sum = 0.590062, temp_average = 0.590062, count = 1
variation = 0.195000, temp_variance = 0.000000, temp_sum = 0.595062, temp_average = 0.595062, count = 1
variation = 0.200000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.205000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.210000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.215000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.220000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
