variation = -0.600000, temp_variance = 0.021483, temp_sum = 189.199846, temp_average = 0.267988, count = 706
variation = -0.060000, temp_variance = 0.004982, temp_sum = 71.961785, temp_average = 0.492889, count = 146
variation = -0.055000, temp_variance = 0.004996, temp_sum = 72.742294, temp_average = 0.498235, count = 146
variation = -0.050000, temp_variance = 0.005010, temp_sum = 73.522805, temp_average = 0.503581, count = 146
variation = -0.045000, temp_variance = 0.005024, temp_sum = 74.303317, temp_average = 0.508927, count = 146
variation = -0.040000, temp_variance = 0.005038, temp_sum = 75.083831, temp_average = 0.514273, count = 146
variation = -0.035000, temp_variance = 0.004535, temp_sum = 63.777395, temp_average = 0.506170, count = 126
variation = -0.030000, temp_variance = 0.004183, temp_sum = 58.434839, temp_average = 0.503749, count = 116
variation = -0.025000, temp_variance = 0.003652, temp_sum = 53.006785, temp_average = 0.500064, count = 106
variation = -0.020000, temp_variance = 0.003660, temp_sum = 53.567949, temp_average = 0.505358, count = 106
variation = -0.015000, temp_variance = 0.003035, temp_sum = 48.082573, temp_average = 0.500860, count = 96
variation = -0.010000, temp_variance = 0.003038, temp_sum = 48.587455, temp_average = 0.506119, count = 96
variation = -0.005000, temp_variance = 0.003042, temp_sum = 49.092338, temp_average = 0.511379, count = 96
variation = 0.000000, temp_variance = 0.002451, temp_sum = 43.576318, temp_average = 0.506701, count = 86
variation = 0.005000, temp_variance = 0.002460, temp_sum = 44.030628, temp_average = 0.511984, count = 86
variation = 0.010000, temp_variance = 0.002143, temp_sum = 41.471682, temp_average = 0.511996, count = 81
variation = 0.015000, temp_variance = 0.002155, temp_sum = 41.900720, temp_average = 0.517293, count = 81
variation = 0.020000, temp_variance = 0.002167, temp_sum = 42.329759, temp_average = 0.522590, count = 81
variation = 0.025000, temp_variance = 0.001563, temp_sum = 36.721870, temp_average = 0.517209, count = 71
variation = 0.030000, temp_variance = 0.001568, temp_sum = 37.094496, temp_average = 0.522458, count = 71
variation = 0.035000, temp_variance = 0.001574, temp_sum = 37.467122, temp_average = 0.527706, count = 71
variation = 0.040000, temp_variance = 0.001581, temp_sum = 37.839749, temp_average = 0.532954, count = 71
variation = 0.045000, temp_variance = 0.001587, temp_sum = 38.212376, temp_average = 0.538202, count = 71
variation = 0.050000, temp_variance = 0.001593, temp_sum = 38.585004, temp_average = 0.543451, count = 71
variation = 0.055000, temp_variance = 0.001326, temp_sum = 32.940118, temp_average = 0.540002, count = 61
variation = 0.060000, temp_variance = 0.001338, temp_sum = 33.262340, temp_average = 0.545284, count = 61
variation = 0.065000, temp_variance = 0.001350, temp_sum = 33.584562, temp_average = 0.550567, count = 61
variation = 0.070000, temp_variance = 0.001287, temp_sum = 30.902392, temp_average = 0.551828, count = 56
variation = 0.075000, temp_variance = 0.001304, temp_sum = 31.199435, temp_average = 0.557133, count = 56
variation = 0.080000, temp_variance = 0.001320, temp_sum = 31.496478, temp_average = 0.562437, count = 56
variation = 0.085000, temp_variance = 0.001315, temp_sum = 25.772631, temp_average = 0.560275, count = 46
variation = 0.090000, temp_variance = 0.000882, temp_sum = 16.946432, temp_average = 0.546659, count = 31
variation = 0.095000, temp_variance = 0.000891, temp_sum = 17.105112, temp_average = 0.551778, count = 31
variation = 0.100000, temp_variance = 0.000899, temp_sum = 17.263792, temp_average = 0.556897, count = 31
variation = 0.105000, temp_variance = 0.000861, temp_sum = 16.221801, temp_average = 0.559372, count = 29
variation = 0.110000, temp_variance = 0.000750, temp_sum = 14.552568, temp_average = 0.559714, count = 26
variation = 0.115000, temp_variance = 0.000751, temp_sum = 14.682915, temp_average = 0.564727, count = 26
variation = 0.120000, temp_variance = 0.000751, temp_sum = 14.813262, temp_average = 0.569741, count = 26
variation = 0.125000, temp_variance = 0.000297, temp_sum = 8.894417, temp_average = 0.555901, count = 16
variation = 0.130000, temp_variance = 0.000297, temp_sum = 8.974549, temp_average = 0.560909, count = 16
variation = 0.135000, temp_variance = 0.000297, temp_sum = 9.054680, temp_average = 0.565918, count = 16
variation = 0.140000, temp_variance = 0.000297, temp_sum = 9.134812, temp_average = 0.570926, count = 16
variation = 0.145000, temp_variance = 0.000297, temp_sum = 9.214943, temp_average = 0.575934, count = 16
variation = 0.150000, temp_variance = 0.000147, temp_sum = 6.286350, temp_average = 0.571486, count = 11
variation = 0.155000, temp_variance = 0.000147, temp_sum = 6.341412, temp_average = 0.576492, count = 11
variation = 0.160000, temp_variance = 0.000147, temp_sum = 6.396475, temp_average = 0.581498, count = 11
variation = 0.165000, temp_variance = 0.000147, temp_sum = 6.451538, temp_average = 0.586503, count = 11
variation = 0.170000, temp_variance = 0.000024, temp_sum = 3.485649, temp_average = 0.580941, count = 6
variation = 0.175000, temp_variance = 0.000024, temp_sum = 3.515666, temp_average = 0.585944, count = 6
variation = 0.180000, temp_variance = 0.000024, temp_sum = 3.545684, temp_average = 0.590947, count = 6
variation = 0.185000, temp_variance = 0.000024, temp_sum = 3.575701, temp_average = 0.595950, count = 6
variation = 0.190000, temp_variance = 0.000000, temp_sum = 0.590000, temp_average = 0.590000, count = 1
variation = 0.195000, temp_variance = 0.000000, temp_sum = 0.595000, temp_average = 0.595000, count = 1
variation = 0.200000, temp_variance = 0.000000, temp_sum = 0.600000, temp_average = 0.600000, count = 1
variation = 0.205000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.210000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.215000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
variation = 0.220000, temp_variance = nan, temp_sum = 0.000000, temp_average = nan, count = 0
